,Original,Type,Param1,Param2,Stat,Sign,Reported p-value
126419,"F(2, 54)   = 9.57,  p   < .01",f,2.0,54.0,9.57,<,0.01
145372,"F(1, 62) = 39.88, p < .001",f,1.0,62.0,39.88,<,0.001
191956,"t(15) = 3.8, p < .01",t,15.0,,3.8,<,0.01
55569,"F(3, 1128) = 7.59, p < .001",f,3.0,1128.0,7.59,<,0.001
191888,"F(1, 31) = 136.8, p < .0001",f,1.0,31.0,136.8,<,0.0001
132631,"F(1, 114) = 23.97, p < .0001",f,1.0,114.0,23.97,<,0.0001
63250,"t(44) = 14.38, p <.0001",t,44.0,,14.38,<,0.0001
40293,"F(1, 45) = 8.10, p = .007",f,1.0,45.0,8.1,=,0.007
153897,"t(67) = −2.2, p = .035",t,67.0,,-2.2,=,0.035
19576,"F(4, 62) = 8.10, p < .001",f,4.0,62.0,8.1,<,0.001
143709,"F(7, 462) = 35.08, p < .0001",f,7.0,462.0,35.08,<,0.0001
83797,"t(70) = 2.64, p = .01",t,70.0,,2.64,=,0.01
170490,"F(1, 118) = 9.51, p < .01",f,1.0,118.0,9.51,<,0.01
139397,"F(2, 36) = 6.31, p < .05",f,2.0,36.0,6.31,<,0.05
71152,"F(2, 174) = 6.31, p < .01",f,2.0,174.0,6.31,<,0.01
14153,"F(1, 66) = 15.870, p < .001",f,1.0,66.0,15.87,<,0.001
187046,"F(1, 3051) = 5.72, p = .02",f,1.0,3051.0,5.72,=,0.02
9003,"t(166) = 4.15, p   < .01",t,166.0,,4.15,<,0.01
161521,"F(3, 364) = 26.28, p < .001",f,3.0,364.0,26.28,<,0.001
129482,"F(1, 602) = 126.23, p < .001",f,1.0,602.0,126.23,<,0.001
98777,"t   (41) = 3.39, p   < .01",t,41.0,,3.39,<,0.01
63312,"t(582) = −5.85, p < .001",t,582.0,,-5.85,<,0.001
65246,"F(1, 76) = 4.19, p = .044",f,1.0,76.0,4.19,=,0.044
183204,"F(2, 80) = 3.67, p < .03",f,2.0,80.0,3.67,<,0.03
156863,"F(1, 49) = 30.24, p < .001",f,1.0,49.0,30.24,<,0.001
37300,"F(1, 37) = 80.26, p < .01",f,1.0,37.0,80.26,<,0.01
85132,"t(36) = .89, p > .05",t,36.0,,0.89,>,0.05
80020,"t(28) = 4.69,   p <.001",t,28.0,,4.69,<,0.001
181836,"F(2, 93) = 27.20, p < .001",f,2.0,93.0,27.2,<,0.001
38579,"F(1, 197) = 4.77, p = .015",f,1.0,197.0,4.77,=,0.015
61358,"F(1, 21)   = 6.02,    p   < .03",f,1.0,21.0,6.02,<,0.03
4501,"F(1, 130) = 225.18, p   < .001",f,1.0,130.0,225.18,<,0.001
