,Original,Type,Param1,Param2,Stat,Sign,Reported p-value
34692,"F(1, 229) = 211.23, p < .001",f,1.0,229.0,211.23,<,0.001
65466,"F(6, 324) = 12.08, p < .05",f,6.0,324.0,12.08,<,0.05
132814,"F(103, 205) = 1.90, p < .01",f,103.0,205.0,1.9,<,0.01
7372,"t(36) = 2.17, p < .05",t,36.0,,2.17,<,0.05
126139,"F(1, 90) = 95.07, p < .001",f,1.0,90.0,95.07,<,0.001
139559,"t(111) = 1.67, p < .05",t,111.0,,1.67,<,0.05
139216,"t(47) = 3.77, p   < .001",t,47.0,,3.77,<,0.001
145214,"t(34) = 4.73, p < .001",t,34.0,,4.73,<,0.001
75067,"t(38) = 10.32, p < .0001",t,38.0,,10.32,<,0.0001
20484,"F(1, 80) = 7.56, p < .01",f,1.0,80.0,7.56,<,0.01
182197,"t(5572) = 20.48, p < .001",t,5572.0,,20.48,<,0.001
19942,"F(1, 10) = 8.82, p   = .014",f,1.0,10.0,8.82,=,0.014
4087,"F(1, 63) = 7.44, p < .01",f,1.0,63.0,7.44,<,0.01
14384,"t(139) = 8.25, p < .001",t,139.0,,8.25,<,0.001
74127,"Fs(1, 123) > 10.30, p < .01",f,1.0,123.0,10.3,<,0.01
49955,"t(28)   = 2.18,    p   < .05",t,28.0,,2.18,<,0.05
115015,"F(1, 50)=.045, p   >.05",f,1.0,50.0,0.045,>,0.05
37168,"t(66) = 11.94, p < .001",t,66.0,,11.94,<,0.001
37472,"F(1, 19) = 7.80, p < .05",f,1.0,19.0,7.8,<,0.05
101995,"F(1, 172) = 21.77, p < .001",f,1.0,172.0,21.77,<,0.001
23784,"t(37) = 3.84, p < .001",t,37.0,,3.84,<,0.001
30225,"t(18) = 9.3, p < .001",t,18.0,,9.3,<,0.001
126845,"t(1) = −2.03, p   < .05",t,1.0,,-2.03,<,0.05
142216,"t(45) = 3.46, p < .01",t,45.0,,3.46,<,0.01
96026,"F(1, 87) = 300.60, p <.01",f,1.0,87.0,300.6,<,0.01
32592,"t(34) = 6.80, p <.001",t,34.0,,6.8,<,0.001
11510,"F(1, 29) = 19.81, p < .001",f,1.0,29.0,19.81,<,0.001
105000,"t(15) = 3.48, p = .003",t,15.0,,3.48,=,0.003
158872,"t(29) = −2.82, p = .009",t,29.0,,-2.82,=,0.009
189054,"F(1,220) = 14.93, p < 0.001",f,1.0,220.0,14.93,<,0.001
45043,"t(34) = 3.10, p < .005",t,34.0,,3.1,<,0.005
46112,"F(2, 53) = 3.69, p < .033",f,2.0,53.0,3.69,<,0.033
192693,"F(6, 74) = 4.29, p = .001",f,6.0,74.0,4.29,=,0.001
11077,"F(4, 89)   = 2.91,    p   < .03",f,4.0,89.0,2.91,<,0.03
4554,"F(2, 44) = 7.67, p <.01",f,2.0,44.0,7.67,<,0.01
86457,"t(38) = 3.33, p <.01",t,38.0,,3.33,<,0.01
184699,"F(2, 45) = 22.4, p < .001",f,2.0,45.0,22.4,<,0.001
92041,"F(1, 156) = 16.48, p < .001",f,1.0,156.0,16.48,<,0.001
96378,"F(1, 105)   = 11.74,  p   < .001",f,1.0,105.0,11.74,<,0.001
8244,"F(1, 31) = 12.85, p   = .001",f,1.0,31.0,12.85,=,0.001
94068,"t(65) = 5.36, p < .001",t,65.0,,5.36,<,0.001
110989,"t(21) = 2.21, p <.05",t,21.0,,2.21,<,0.05
122406,"F(1, 17) = 247.91, p < .001",f,1.0,17.0,247.91,<,0.001
146780,"F(4, 24) = 2.88, p < .05",f,4.0,24.0,2.88,<,0.05
129474,"t(19) = 2.33, p <.05",t,19.0,,2.33,<,0.05
60486,"t(218) = 4.24, p   < .001",t,218.0,,4.24,<,0.001
145226,"F(2, 685) = 3.0, p < .05",f,2.0,685.0,3.0,<,0.05
193638,"F(2, 36) = 5.94, p < .01",f,2.0,36.0,5.94,<,0.01
165282,"t(70) = 3.33, p = .001",t,70.0,,3.33,=,0.001
24644,"t(9) = 3.7, p < .01",t,9.0,,3.7,<,0.01
145888,"F(2, 56) = 5.18, p = .009",f,2.0,56.0,5.18,=,0.009
64026,"t(79) = −2.99, p < .001",t,79.0,,-2.99,<,0.001
153264,"F(1, 3) = 27.1, p = .01",f,1.0,3.0,27.1,=,0.01
21037,"F(1, 9) = 5.20, p <.05",f,1.0,9.0,5.2,<,0.05
103728,"F(1, 182) = 13.21, p < .001",f,1.0,182.0,13.21,<,0.001
36588,"F(1, 60) = 8.73, p = .004",f,1.0,60.0,8.73,=,0.004
75816,"t(54) = 2.80, p < .01",t,54.0,,2.8,<,0.01
12544,"t(75) = 6.50, p < .001",t,75.0,,6.5,<,0.001
168109,"F(2, 59) = 4.85, p < .05",f,2.0,59.0,4.85,<,0.05
44914,"t(43) = 2.21, p = .03",t,43.0,,2.21,=,0.03
111745,"t(4745) = 6.48, p < .001",t,4745.0,,6.48,<,0.001
95877,"F(2, 284) = 76.3, p < .0001",f,2.0,284.0,76.3,<,0.0001
86241,"t(46) = 3.96, p < .001",t,46.0,,3.96,<,0.001
49494,"F(1, 107) = 12.70, p < .01",f,1.0,107.0,12.7,<,0.01
14415,"t(49) = 3.42, p = .001",t,49.0,,3.42,=,0.001
185341,"F(1, 78) = 16.9, p < .001",f,1.0,78.0,16.9,<,0.001
115799,"F(1, 20) = 34.216, p < .001",f,1.0,20.0,34.216,<,0.001
84734,"t(1135) = 7.9, p < .05",t,1135.0,,7.9,<,0.05
124787,"F(1, 70) = 9.82, p < .005",f,1.0,70.0,9.82,<,0.005
74735,"F(1, 144) = 15.31, p < .001",f,1.0,144.0,15.31,<,0.001
150760,"F(8, 1782) = 194.69, p < .001",f,8.0,1782.0,194.69,<,0.001
197761,"t(31) = 2.73, p < .05",t,31.0,,2.73,<,0.05
33787,"F(1, 36) = 16.78, p   < .0005",f,1.0,36.0,16.78,<,0.0005
112075,"t(120) = 11.01, p < .0001",t,120.0,,11.01,<,0.0001
148551,"F(2, 44) = 6.72, p < .03",f,2.0,44.0,6.72,<,0.03
94059,"t(90) = 3.51, p = .001",t,90.0,,3.51,=,0.001
34260,"F(1, 60) = 12.70, p < .01",f,1.0,60.0,12.7,<,0.01
29367,"F(1, 44) = 5.01, p < .03",f,1.0,44.0,5.01,<,0.03
147350,"F(2, 57) = 9.57, p < .001",f,2.0,57.0,9.57,<,0.001
104955,"F(1, 108) = 13.71,p < .01",f,1.0,108.0,13.71,<,0.01
52780,"t(55) = −2.09, p < .05",t,55.0,,-2.09,<,0.05
148529,"t(63) = 3.00, p = .008",t,63.0,,3.0,=,0.008
164844,"t(60) = 3.11, p < .01",t,60.0,,3.11,<,0.01
151360,"t(23) = 7.10, p < .0001",t,23.0,,7.1,<,0.0001
126654,"F(2, 38) = 14.85, p < .0001",f,2.0,38.0,14.85,<,0.0001
83876,"F(1, 92) = 4.22, p   < .05",f,1.0,92.0,4.22,<,0.05
116832,"F(4, 32) = 11.73, p < .001",f,4.0,32.0,11.73,<,0.001
141391,"t(32) = 2.129, p = .041",t,32.0,,2.129,=,0.041
153246,"F(1, 7) = 14.15, p = .009",f,1.0,7.0,14.15,=,0.009
4312,"t   (33) = 10.00, p   < .01",t,33.0,,10.0,<,0.01
159537,"t   (101) = 2.44, p   < .05",t,101.0,,2.44,<,0.05
58630,"F(1, 32) = 9.91, p = .004",f,1.0,32.0,9.91,=,0.004
127766,"F(3, 42) = 18.78, p < .001",f,3.0,42.0,18.78,<,0.001
48976,"F(2, 52) = 5.57, p   < .01",f,2.0,52.0,5.57,<,0.01
153157,"F(1, 31) = 15.0, p < .01",f,1.0,31.0,15.0,<,0.01
95453,"F(1, 199) = 20.88, p < .001",f,1.0,199.0,20.88,<,0.001
187845,"t(59) = 4.614, p < .001",t,59.0,,4.614,<,0.001
91518,"F(1, 54) = 7.60, p < .01",f,1.0,54.0,7.6,<,0.01
118573,"F(1, 21) = 6.1, p < .05",f,1.0,21.0,6.1,<,0.05
151117,"t(139) = 1.91, p < .05",t,139.0,,1.91,<,0.05
165105,"F(3815, 377) = 1.31, p < .001",f,3815.0,377.0,1.31,<,0.001
16581,"t(126) = −1.68,   p < .05",t,126.0,,-1.68,<,0.05
76096,"F(1, 82) = 6.34, p <.01",f,1.0,82.0,6.34,<,0.01
55795,"t(86) = 4.17,p <.001",t,86.0,,4.17,<,0.001
53738,"F(1, 1070) = 11.94, p < .001",f,1.0,1070.0,11.94,<,0.001
187167,"t(95) = 3.00, p < .01",t,95.0,,3.0,<,0.01
73570,"F(2, 183)   = 19.69,  p   < .0001",f,2.0,183.0,19.69,<,0.0001
75344,"F(1, 54) = 9.90, p < .01",f,1.0,54.0,9.9,<,0.01
17563,"F(1, 226) = 10.09, p < .01",f,1.0,226.0,10.09,<,0.01
141561,"F(4, 63) = 3.50, p < .05",f,4.0,63.0,3.5,<,0.05
105804,"F(1, 32) = 5.71, p = .023",f,1.0,32.0,5.71,=,0.023
19641,"F(1, 54) = 4.79, p < .04",f,1.0,54.0,4.79,<,0.04
24109,"t(153) = 12.88, p < .0001",t,153.0,,12.88,<,0.0001
140570,"F(1, 37) = 5.98, p = .019",f,1.0,37.0,5.98,=,0.019
119686,"F(3, 96) = 15.14, p < .001",f,3.0,96.0,15.14,<,0.001
112209,"t(4,117) = 5.28, p < .001",t,117.0,,5.28,<,0.001
125830,"F(1, 14) = 26.16, p < .005",f,1.0,14.0,26.16,<,0.005
13067,"F(8, 117) = 2.82, p < .007",f,8.0,117.0,2.82,<,0.007
14092,"t(42) = 4.57, p   < .001",t,42.0,,4.57,<,0.001
18283,"F(2, 30) = 40.69, p < .0001",f,2.0,30.0,40.69,<,0.0001
191527,"F(8, 72) = 2.12, p =.045",f,8.0,72.0,2.12,=,0.045
151761,"t(50) = 3.92, p <.0005",t,50.0,,3.92,<,0.0005
91521,"F(2, 54) = 5.42, p < .01",f,2.0,54.0,5.42,<,0.01
116906,"t   (54) = 3.34, p   < .05",t,54.0,,3.34,<,0.05
110415,"F(3, 90) = 144.40, p < .001",f,3.0,90.0,144.4,<,0.001
86601,"t(224) = 2.57, p = .011",t,224.0,,2.57,=,0.011
174926,"t   (30) = 2.15, p    < .05",t,30.0,,2.15,<,0.05
123872,"F(6, 420) = 2.32, p = .03",f,6.0,420.0,2.32,=,0.03
177428,"F(1, 160) = 5.2, p < .05",f,1.0,160.0,5.2,<,0.05
149226,"F(1, 36) = 7.6, p <.01",f,1.0,36.0,7.6,<,0.01
53092,"t(78) = −2.50, p =.01",t,78.0,,-2.5,=,0.01
195597,"F(3, 86) = 40.12, p < .01",f,3.0,86.0,40.12,<,0.01
152149,"F(2, 42) = 37.83, p < .0001",f,2.0,42.0,37.83,<,0.0001
80242,"t(181) = 3.68, p <.001",t,181.0,,3.68,<,0.001
113971,"t(31) = 3.47, p < .01",t,31.0,,3.47,<,0.01
161642,"F(1, 140) = 9.16, p < .01",f,1.0,140.0,9.16,<,0.01
132456,"F(1, 82) = 7.88, p = .006",f,1.0,82.0,7.88,=,0.006
53264,"F(1, 114) = 9.63, p   < .01",f,1.0,114.0,9.63,<,0.01
126246,"t   (19) = 4.62, p    < .001",t,19.0,,4.62,<,0.001
175343,"F(5, 310) = 64.878, p   < .001",f,5.0,310.0,64.878,<,0.001
89794,"t(39) = 6.67, p < .0001",t,39.0,,6.67,<,0.0001
22807,"t(460) = 1.98, p < .05",t,460.0,,1.98,<,0.05
184756,"F(2, 92) = 11.03, p < .01",f,2.0,92.0,11.03,<,0.01
137367,"t(217) = 4.54, p < .001",t,217.0,,4.54,<,0.001
56488,"F(1, 21) = 4.63, p = .04",f,1.0,21.0,4.63,=,0.04
151696,"F(1, 85) = 6.35, p < .05",f,1.0,85.0,6.35,<,0.05
33853,"F(1, 68) = 11.9, p <.01",f,1.0,68.0,11.9,<,0.01
67520,"t(123) = 3.43, p < .001",t,123.0,,3.43,<,0.001
66175,"F(2, 2725 ) = 33.02, p   < .001",f,2.0,2725.0,33.02,<,0.001
148711,"F(1, 293) = 5.11, p <.05",f,1.0,293.0,5.11,<,0.05
88019,"F(2, 44) = 10.68, p <.001",f,2.0,44.0,10.68,<,0.001
43466,"F(1, 263) = 16.07, p < .001",f,1.0,263.0,16.07,<,0.001
47385,"t(56)   = 1.98,    p   < .05",t,56.0,,1.98,<,0.05
171023,"F(6, 164) = 3.59, p < .002",f,6.0,164.0,3.59,<,0.002
124264,"F(3, 432) = 2.71, p < .05",f,3.0,432.0,2.71,<,0.05
40688,"t(22) = 2.10, p < .05",t,22.0,,2.1,<,0.05
152968,"F(1, 14) = 45.74, p < .0001",f,1.0,14.0,45.74,<,0.0001
28881,"F(1, 496)   = 349.1,  p   < .001",f,1.0,496.0,349.1,<,0.001
181443,"F(1, 37)   = 11.10,  p   < .002",f,1.0,37.0,11.1,<,0.002
55746,"t(100) = −3.134, p = .016",t,100.0,,-3.134,=,0.016
164634,"F(1, 29) = 39.68, p < .0001",f,1.0,29.0,39.68,<,0.0001
8833,"F(1, 73) = 6.27, p < .02",f,1.0,73.0,6.27,<,0.02
166161,"F(1, 68) = 7.47, p =.008",f,1.0,68.0,7.47,=,0.008
130159,"F(1, 55) = 20.18, p < .001",f,1.0,55.0,20.18,<,0.001
108934,"F   (1, 259) = 8.78, p < .01",f,1.0,259.0,8.78,<,0.01
141677,"t(67) = −2.05, p < .05",t,67.0,,-2.05,<,0.05
72861,"t(1940) = 9.84, p < .001",t,1940.0,,9.84,<,0.001
153299,"t(959) = 4.09, p <.01",t,959.0,,4.09,<,0.01
124257,"F(1, 144) = 6.91, p < .01",f,1.0,144.0,6.91,<,0.01
84259,"t(20) = 2.81, p < .01",t,20.0,,2.81,<,0.01
99055,"F(1, 33) = 14.96, p <.01",f,1.0,33.0,14.96,<,0.01
88883,"t(32) = 2.79, p <.01",t,32.0,,2.79,<,0.01
123956,"t(9) = 5.45, p < .001",t,9.0,,5.45,<,0.001
156810,"F(1, 19) = 6.32, p < .05",f,1.0,19.0,6.32,<,0.05
101314,"F(1, 189) = 33.82, p < .01",f,1.0,189.0,33.82,<,0.01
122876,"F(1, 40) = 5.63, p < .023",f,1.0,40.0,5.63,<,0.023
96361,"F(3, 3297) = 265.01, p < .001",f,3.0,3297.0,265.01,<,0.001
93929,"F(4, 208) = 12.47, p <   .01",f,4.0,208.0,12.47,<,0.01
126688,"F(5, 41) = 5.9, p < .001",f,5.0,41.0,5.9,<,0.001
59310,"t(80) = 2.73, p < .008",t,80.0,,2.73,<,0.008
10845,"F(1, 401) = 13.18, p < .001",f,1.0,401.0,13.18,<,0.001
107145,"t(36) = 2.8, p < .01",t,36.0,,2.8,<,0.01
141283,"t(29) = 0.63, p > .05",t,29.0,,0.63,>,0.05
32899,"F(1, 43) = 4.26, p   < .05",f,1.0,43.0,4.26,<,0.05
27354,"F(1, 94) = 5.65, p < .02",f,1.0,94.0,5.65,<,0.02
55840,"F(2, 48) = 3.19, p   < .05",f,2.0,48.0,3.19,<,0.05
63685,"F(1, 22)   = 8.55,    p   < .01",f,1.0,22.0,8.55,<,0.01
158862,"t(23) = 6.62, p < .001",t,23.0,,6.62,<,0.001
116521,"t(71) = −2.25, p < .05",t,71.0,,-2.25,<,0.05
60954,"F(1, 42) = 6.79, p < .02",f,1.0,42.0,6.79,<,0.02
38421,"t(14) = 2.25, p = .05",t,14.0,,2.25,=,0.05
21419,"t(40) = 7.557, p < .001",t,40.0,,7.557,<,0.001
130234,"F(1, 57) = 12.76, p <.01",f,1.0,57.0,12.76,<,0.01
130207,"t(4) = 3.065, p < .05",t,4.0,,3.065,<,0.05
19708,"F(1, 130) = 18.10, p < .01",f,1.0,130.0,18.1,<,0.01
169752,"F(4, 398) = 0.82, p > .05",f,4.0,398.0,0.82,>,0.05
16656,"F(1, 42) = 4.99, p < .05",f,1.0,42.0,4.99,<,0.05
138134,"F(1, 61) = 13.12, p = .001",f,1.0,61.0,13.12,=,0.001
86735,"t(80) = 2.99, p = .01",t,80.0,,2.99,=,0.01
8647,"t(530) = −7.19, p < .001",t,530.0,,-7.19,<,0.001
102779,"t(37) = 4.79, p <.001",t,37.0,,4.79,<,0.001
85729,"t(204) = 3.71, p <.001",t,204.0,,3.71,<,0.001
166293,"F(20, 125) = 45.49, p < .001",f,20.0,125.0,45.49,<,0.001
121867,"F(4, 297) = 3.20, p < .05",f,4.0,297.0,3.2,<,0.05
91883,"t(41) = 2.85, p   < .01",t,41.0,,2.85,<,0.01
96468,"t(41) = 3.29, p = .002",t,41.0,,3.29,=,0.002
53009,"t(31) = 1.68, p < .05",t,31.0,,1.68,<,0.05
167885,"F(1, 17) = 17.82, p < .001",f,1.0,17.0,17.82,<,0.001
43998,"F(3, 28) = 3.41, p < .05",f,3.0,28.0,3.41,<,0.05
150508,"F(1, 234) = 4.79, p < .05",f,1.0,234.0,4.79,<,0.05
40462,"F(1, 152) = 10.13, p < .005",f,1.0,152.0,10.13,<,0.005
95376,"F(1, 57) = 8.88, p = .004",f,1.0,57.0,8.88,=,0.004
24214,"F(2, 212) = 6.64, p   < .01",f,2.0,212.0,6.64,<,0.01
117868,"t(50) = 16.23, p < .01",t,50.0,,16.23,<,0.01
6778,"F(1, 107) = 4.23, p   < .04",f,1.0,107.0,4.23,<,0.04
111092,"F(2, 185) = 6.00, p =.02",f,2.0,185.0,6.0,=,0.02
19221,"F(1, 36) = 8.24, p < .01",f,1.0,36.0,8.24,<,0.01
47517,"t(149) = 7.63, p < .001",t,149.0,,7.63,<,0.001
105570,"F(1, 263) = 15.82, p < .001",f,1.0,263.0,15.82,<,0.001
60007,"F(2, 41) = 9.01, p < .01",f,2.0,41.0,9.01,<,0.01
187263,"F(1, 14) = 4.73, p = .05",f,1.0,14.0,4.73,=,0.05
36703,"t(1164) = 6.18, p < .001",t,1164.0,,6.18,<,0.001
36612,"F(1, 784) = 8.21, p = .004",f,1.0,784.0,8.21,=,0.004
99232,"F(1, 63) = 6.54, p < .02",f,1.0,63.0,6.54,<,0.02
84003,"t(84) = 2.50, p = .015",t,84.0,,2.5,=,0.015
187021,"t(24) = 3.2, p < .01",t,24.0,,3.2,<,0.01
82293,"F(1, 166) = 7.38, p < .01",f,1.0,166.0,7.38,<,0.01
65356,"t(16) = 3.27, p < .01",t,16.0,,3.27,<,0.01
167305,"F(1, 1629) = 26.21, p < .01",f,1.0,1629.0,26.21,<,0.01
161150,"F(1, 174) = 6.98, p = .009",f,1.0,174.0,6.98,=,0.009
194512,"F(2, 35) = 17.7, p < .001",f,2.0,35.0,17.7,<,0.001
168319,"t(142) = 2.25, p < .026",t,142.0,,2.25,<,0.026
97395,"t(65) =   3.00, p < .01",t,65.0,,3.0,<,0.01
119905,"F(3, 48) = 40.00, p < .01",f,3.0,48.0,40.0,<,0.01
124476,"t(11) = 6.03, p < .01",t,11.0,,6.03,<,0.01
136289,"F(2, 66) = 11.78, p <.01",f,2.0,66.0,11.78,<,0.01
80363,"t   (42) = 6.69, p   < .001",t,42.0,,6.69,<,0.001
44008,"F(3, 72) = 3.24, p < .02",f,3.0,72.0,3.24,<,0.02
24768,"F(1, 35) = 6.98, p < .02",f,1.0,35.0,6.98,<,0.02
108853,"F(181, 342) = 2.28, p < .001",f,181.0,342.0,2.28,<,0.001
24568,"F(1, 60) = 12.71, p = .001",f,1.0,60.0,12.71,=,0.001
159421,"F(2, 228) = 3.27, p = .039",f,2.0,228.0,3.27,=,0.039
106768,"t(14) = 14.00, p < .001",t,14.0,,14.0,<,0.001
88986,"F(6, 390) = 7.10, p < .001",f,6.0,390.0,7.1,<,0.001
78400,"F(2, 240) = 32.23, p < .01",f,2.0,240.0,32.23,<,0.01
138504,"F(3, 69) = 59.13, p < .001",f,3.0,69.0,59.13,<,0.001
38647,"t(2772) = 6.70, p < .001",t,2772.0,,6.7,<,0.001
74048,"F(2, 38) = 9.42, p < .01",f,2.0,38.0,9.42,<,0.01
44096,"F(4, 392) = 22.79, p < .001",f,4.0,392.0,22.79,<,0.001
196924,"F(5, 1250) = 3.95, p < .01",f,5.0,1250.0,3.95,<,0.01
166148,"F(7, 233) = 6.86, p < .001",f,7.0,233.0,6.86,<,0.001
75839,"F(1, 79) = 46.69, p < .001",f,1.0,79.0,46.69,<,0.001
111010,"F(1, 113) = 7.98, p < .01",f,1.0,113.0,7.98,<,0.01
163719,"t(63) = 3.21, p = .002",t,63.0,,3.21,=,0.002
106157,"F(1, 36) = 10.17, p < .01",f,1.0,36.0,10.17,<,0.01
33094,"F(1, 273) = 5.16, p = .024",f,1.0,273.0,5.16,=,0.024
148492,"F(1, 72) = 22.73, p < .001",f,1.0,72.0,22.73,<,0.001
161877,"F(1, 19) = 6.9, p = .017",f,1.0,19.0,6.9,=,0.017
8131,"t(94) = 7.92, p < .001",t,94.0,,7.92,<,0.001
10529,"F(1, 60) = 4.55, p   = .037",f,1.0,60.0,4.55,=,0.037
125752,"t(15) = 2.29, p < .05",t,15.0,,2.29,<,0.05
72574,"F(1, 53) = 7.97, p < .007",f,1.0,53.0,7.97,<,0.007
173199,"F(4, 49) = 4.77, p < .01",f,4.0,49.0,4.77,<,0.01
26308,"F(1, 95) = 4.97, p = .028",f,1.0,95.0,4.97,=,0.028
129388,"F(1, 42) = 26.23, p < .001",f,1.0,42.0,26.23,<,0.001
92161,"t(190) = 2.18, p < .05",t,190.0,,2.18,<,0.05
7629,"F(1, 39) = 13.86, p   = .001",f,1.0,39.0,13.86,=,0.001
153539,"F(2, 30) = 3.32, p = .05",f,2.0,30.0,3.32,=,0.05
140576,"t(57) = 5.30, p < .001",t,57.0,,5.3,<,0.001
181565,"t(22) = −2.42, p = .024",t,22.0,,-2.42,=,0.024
21820,"F(1, 108) = 6.10, p = .02",f,1.0,108.0,6.1,=,0.02
159880,"F(1, 36) = 4.70, p = .037",f,1.0,36.0,4.7,=,0.037
77151,"F(1, 45) = 6.95, p = .005",f,1.0,45.0,6.95,=,0.005
92145,"F(1, 170) = 4.97, p < .03",f,1.0,170.0,4.97,<,0.03
17141,"F(1, 166) = 25.43,   p < .001",f,1.0,166.0,25.43,<,0.001
13914,"t(109) = 2.05, p = .043",t,109.0,,2.05,=,0.043
103021,"F(1, 36) = 4.12, p =.05",f,1.0,36.0,4.12,=,0.05
154340,"t(38) = 4.55, p = .001",t,38.0,,4.55,=,0.001
161902,"F(8, 1392) = 7.27, p   < .001",f,8.0,1392.0,7.27,<,0.001
63670,"F(1, 75) = 69.10,   p < .001",f,1.0,75.0,69.1,<,0.001
174911,"F(1, 28) = 0.30, p    > .05",f,1.0,28.0,0.3,>,0.05
84430,"F(1, 68) = 14.97, p   < .0001",f,1.0,68.0,14.97,<,0.0001
46819,"F(1, 47) = 6.56, p < .02",f,1.0,47.0,6.56,<,0.02
168463,"F(1, 13)   = 24.15,  p   < .001",f,1.0,13.0,24.15,<,0.001
166136,"F(3, 243) = 8.88, p < .0001",f,3.0,243.0,8.88,<,0.0001
45330,"t(237) = 3.30, p   < .01",t,237.0,,3.3,<,0.01
66176,"F(1, 1333) = 10.00, p   < .001",f,1.0,1333.0,10.0,<,0.001
34279,"F(1, 97) = 5.93, p   = .02",f,1.0,97.0,5.93,=,0.02
175155,"F(1, 62) = 12.52, p < .001",f,1.0,62.0,12.52,<,0.001
107370,"F(1, 21) = 8.16, p = .009",f,1.0,21.0,8.16,=,0.009
142694,"t(71) = 11.314, p < .001",t,71.0,,11.314,<,0.001
164877,"t(38) = 2.33, p < .05",t,38.0,,2.33,<,0.05
576,"F(1, 93) = 6.56, p < .02",f,1.0,93.0,6.56,<,0.02
26416,"F(1, 65) = 9.95, p < .01",f,1.0,65.0,9.95,<,0.01
33378,"F(1, 162) = 6.54, p = .01",f,1.0,162.0,6.54,=,0.01
79732,"F(1, 465) = 22.47, p < .001",f,1.0,465.0,22.47,<,0.001
51286,"t(62) = 4.98, p < .001",t,62.0,,4.98,<,0.001
98535,"F(1, 123) = 23.24, p < .01",f,1.0,123.0,23.24,<,0.01
95536,"F(1, 54) = 10.26, p   <.01",f,1.0,54.0,10.26,<,0.01
136903,"t(69) = 2.20, p < .05",t,69.0,,2.2,<,0.05
80966,"F(2, 204) = 26.17, p < .001",f,2.0,204.0,26.17,<,0.001
147391,"F(1, 18) = 8.10, p < .05",f,1.0,18.0,8.1,<,0.05
168626,"t(427) = 9.75, p < .0001",t,427.0,,9.75,<,0.0001
85822,"t(548) = 2.06, p < .05",t,548.0,,2.06,<,0.05
79114,"t(41) = 4.82, p < .001",t,41.0,,4.82,<,0.001
183185,"F(1, 37) = 22.48, p < .0001",f,1.0,37.0,22.48,<,0.0001
196565,"F(10, 1458) = 6.47, p < .0001",f,10.0,1458.0,6.47,<,0.0001
142039,"t(41) = 10.704, p < .01",t,41.0,,10.704,<,0.01
67373,"F(1, 38)   = 5.55,  p   < .025",f,1.0,38.0,5.55,<,0.025
71683,"F(1, 36) = 4.5, p < .039",f,1.0,36.0,4.5,<,0.039
82006,"t(57) = −8.19, p   < .001",t,57.0,,-8.19,<,0.001
168564,"F(2, 103) = 6.74, p < .01",f,2.0,103.0,6.74,<,0.01
96417,"t(68) = 2.10, p < .05",t,68.0,,2.1,<,0.05
175304,"F(1, 70) = 13.84, p < .001",f,1.0,70.0,13.84,<,0.001
168655,"F(1, 66) = 5.55, p <.03",f,1.0,66.0,5.55,<,0.03
77697,"F(1, 111) = 4.71, p < .05",f,1.0,111.0,4.71,<,0.05
114867,"F(6, 42) = 18.0, p < .01",f,6.0,42.0,18.0,<,0.01
30551,"F(1, 119) = 26.95, p   < .0001",f,1.0,119.0,26.95,<,0.0001
131445,"t(101) = 2.93, p   < .05",t,101.0,,2.93,<,0.05
155345,"F(7, 238) = 2.52, p < .02",f,7.0,238.0,2.52,<,0.02
108933,"F   (1, 259) = 6.81, p < .01",f,1.0,259.0,6.81,<,0.01
120212,"t(44) = 3.31, p = .002",t,44.0,,3.31,=,0.002
158603,"F(3, 57) = 25.95, p < .005",f,3.0,57.0,25.95,<,0.005
178198,"t(49) = 3.59, p =.001",t,49.0,,3.59,=,0.001
185672,"t(18) =   6.07, p <.01",t,18.0,,6.07,<,0.01
123996,"F(2, 7)   = 15.68,  p   = .002",f,2.0,7.0,15.68,=,0.002
155816,"t(346) = 3.26, p < .01",t,346.0,,3.26,<,0.01
37686,"F(3, 138) = 155.48, p < .001",f,3.0,138.0,155.48,<,0.001
40032,"F(1, 139) = 6.63,   p < .012",f,1.0,139.0,6.63,<,0.012
36111,"t(60) = 4.67, p < .001",t,60.0,,4.67,<,0.001
80599,"F(1, 54) = 4.85, p < .03",f,1.0,54.0,4.85,<,0.03
140456,"t(52) = 10.48, p < .0001",t,52.0,,10.48,<,0.0001
112041,"t(985) = 10.78, p < .001",t,985.0,,10.78,<,0.001
42395,"t(54) = 17.67, p < .001",t,54.0,,17.67,<,0.001
43429,"F(1, 198) = 38.53, p < .001",f,1.0,198.0,38.53,<,0.001
116108,"F(6, 216) = 2.25, p < .05",f,6.0,216.0,2.25,<,0.05
48119,"F(4, 338) = 21.38, p < .001",f,4.0,338.0,21.38,<,0.001
111698,"F(1, 126) = 228.14, p < .0001",f,1.0,126.0,228.14,<,0.0001
178941,"F(2, 139) = 3.36, p <.04",f,2.0,139.0,3.36,<,0.04
109635,"F(1, 169) = 29.20, p <.0001",f,1.0,169.0,29.2,<,0.0001
164271,"F(6, 120) = 6.42, p < .001",f,6.0,120.0,6.42,<,0.001
150644,"F(1, 29) = 15.88, p < .001",f,1.0,29.0,15.88,<,0.001
195504,"F(2, 60) = 8.42, p < .004",f,2.0,60.0,8.42,<,0.004
112502,"F(1, 47) = 30.21, p < .0001",f,1.0,47.0,30.21,<,0.0001
111079,"F(1, 18) = 5.72, p < .05",f,1.0,18.0,5.72,<,0.05
24917,"F(1, 116) = 20.65, p < .01",f,1.0,116.0,20.65,<,0.01
